booth_number,booth_name
1,Uchcha Vighalay Jamhor Purwi Bhag.
2,Uchcha Vighalay Jamhor Purwi Madhya Bhag
3,Uchcha Vighalay Jamhor Pashchimi Madhya Bhag
4,Uchcha Vighalay Jamhor Pashchimi Madhya Bhag
5,Madhya Vighalay Jamhor Purwi Bhag
6,MADHYA VIDHAYAL jamhor MADHYA BHAG
7,Madhya Vighalay Jamhor Pashchimi Bhag
8,Prathamik Vighalay Jokahari
9,Prathamik Vidyalay Raja Bigaha
10,UTKRAMIT MADHYA VIDYALAY MOR DIHRI (PURVI BHAG
11,UTKRAMIT MADHYA VIDHYALAY mor dihriPASHCHIMI BHAG
12,Samudayik Bhawan Padrawan
13,Utkramit Madhya Vidyalay Devariya
14,Utkramit Madhya Vidyalay Chitragopi
15,Samudayik Bhavan Patanava
16,Prathamik Vidyalay Devahara
17,Prathmik Vidyalay Jagadishapur
18,Urdu Madhya Vidyalay Bharathauli PURVI BHAG
19,URDU MADHYA VIDHYALAY bharthauli PASHCHIMI BHAG
20,Utkramit madhya Vidyalay Susanar
21,Utkramit Madhya Vidyalay Khairabinda
22,Utkramit Madhya Vidyalay Saheya
23,Madhya Vidyalay Manjurahi
24,Madhya Vidyalay Babhanadi
25,Prathamik Vidyalay Rayapura
26,Utkramit Madhya Vidyalay Bharathauli
27,"Urdu Makhatab Kosadihara ,Purwi Bhag"
28,"Urdu Makhatab Kosadihara, Pashchimi Bhag"
29,Utkramit Madya Vidyalay Batava
30,Utkramit Madhya vidyalay Rampur PURVI BHAG
31,Utkramit Madhya Vidyalay Rampur Pashchimi Bhag
32,"Utkramit Madhya Vidyalay,Simariya"
33,Utkramit Madhya Vidyalay Kathautirya
34,Madhy vidyalay karma bhagawan Bayan Bhag
35,Madhya Vidyalay Karma Bhagwan Daya Bhag
36,Madhya Vidyalay Karma Bhagwan Pashchim Bhag
37,Utkramit Madhya Vidyalay Kuramha Purwi Bhag
38,"Utkramit Madhya Vidyalay, Kuramha Pashchimi Bhag"
39,Madhya Vidyalay Badava Purwi Bhag
40,Madhya Vidyalay Badwa Paschimi Bhag
41,Prathmik Vidyalay Devariya
42,Prathamik Vidyalay Khairi
43,Utkramit Madhya Vidyalay Pirauta
44,Samudayik Bhavan Banahi
45,Utkramit Madhya Vidyalay Tendua
46,Utkramit Madhya Vidyalay Haranahi
47,Samudayik Bhavan Parasi
48,Utkramit Madhya Vidyalay Unthu
49,Utkramit Madhya Vidyalay Maulanagar
50,Utkramit Madhya Vidyalay Chauriya
51,Utkramit Madhya Vidyalay Radhauliya Purvi Bhag
52,UTKRAMIT MADHYA VIDHYALAY Radhauliya PASHCHIMI BHAG
53,Utkramit Madhya Vidyalay Ibrahimapur
54,Utkramit Madhya Vidyalay Chatara
55,Utkramit Madhya Vidyalay Sohrareya
56,Utkramit Madhya Vidyalay Gamhari
