old_names,correct_names,correct_ratio,correct_ratio1
Uchcha Vighalay Jamhor Purwi Bhag.,Uchcha Vighalay Jamhor Purwi Bhag,100,100
Uchcha Vighalay Jamhor Purwi Madhya Bhag,Uchcha Vighalay Jamhor Purwi Madhya Bhag,100,100
Uchcha Vighalay Jamhor Pashchimi Madhya Bhag,Uchcha Vighalay Jamhor Pashchimi Madhya Bhag,100,100
Uchcha Vighalay Jamhor Pashchimi Madhya Bhag,Uchcha Vighalay Jamhor Pashchimi Madhya Bhag,100,100
Madhya Vighalay Jamhor Purwi Bhag,Madhya Vighalay Jamhor Purwi Bhag,100,100
MADHYA VIDHAYAL jamhor MADHYA BHAG,Uchcha Vighalay Jamhor Purwi Madhya Bhag,80,80
Madhya Vighalay Jamhor Pashchimi Bhag,Madhya Vighalay Jamhor Pashchimi Bhag,100,100
Prathamik Vighalay Jokahari,Prathamik Vighalay Jokahari,100,100
Prathamik Vidyalay Raja Bigaha,Prathamik Vidyalay Ajab Bigaha,97,97
UTKRAMIT MADHYA VIDYALAY MOR DIHRI (PURVI BHAG,Utkramit Madhya Vidyalay Beli,91,91
UTKRAMIT MADHYA VIDHYALAY mor dihriPASHCHIMI BHAG,Utkramit Madhya Vidyalay Ora Pashchimi Bhag,87,87
Samudayik Bhawan Padrawan,Samudayik Bhavan Padarava,88,88
Utkramit Madhya Vidyalay Devariya,Utkramit Madhya Vidyalay Tetariya,94,94
Utkramit Madhya Vidyalay Chitragopi,Utkramit Madhya Vidyalay Beli,91,91
Samudayik Bhavan Patanava,Samudayik Bhavan Patanava,100,100
Prathamik Vidyalay Devahara,Prathamik Vidyalay Devahara,100,100
Prathmik Vidyalay Jagadishapur,Prathamik Vidyalay Jagadishapur,98,98
Urdu Madhya Vidyalay Bharathauli PURVI BHAG,Urdu Madhya Vidyalay Bharathauli,100,100
URDU MADHYA VIDHYALAY bharthauli PASHCHIMI BHAG,Madhya Vidyalay Badava Pashchimi Bhag,81,81
Utkramit madhya Vidyalay Susanar,Utkramit Madhya Vidyalay Susanar,100,100
Utkramit Madhya Vidyalay Khairabinda,Utkramit Madhya Vidyalay Khairabinda,100,100
Utkramit Madhya Vidyalay Saheya,Utkramit Madhya Vidyalay Saheya,100,100
Madhya Vidyalay Manjurahi,Madhya Vidyalay Manjurahi,100,100
Madhya Vidyalay Babhanadi,Madhya Vidyalay Babhanadi,100,100
Prathamik Vidyalay Rayapura,Prathamik Vidyalay Rayapura,100,100
Utkramit Madhya Vidyalay Bharathauli,Utkramit Madhya Vidyalay Bharathauli,100,100
"Urdu Makhatab Kosadihara ,Purwi Bhag","Urdu Makhatab Kosadihara ,Purwi Bhag",100,100
"Urdu Makhatab Kosadihara, Pashchimi Bhag","Urdu Makhatab Kosadihara, Pashchimi Bhag",100,100
Utkramit Madya Vidyalay Batava,Utkramit Madhya Vidyalay Bharavar,92,92
Utkramit Madhya vidyalay Rampur PURVI BHAG,Utkramit Madhya Vidyalay Beli,91,91
Utkramit Madhya Vidyalay Rampur Pashchimi Bhag,Utkramit Madhya Vidyalay Ora Pashchimi Bhag,95,95
"Utkramit Madhya Vidyalay,Simariya",Utkramit Madhya Vidyalay Simariya,100,100
Utkramit Madhya Vidyalay Kathautirya,Utkramit Madhya Vidyalay Beli,91,91
Madhy vidyalay karma bhagawan Bayan Bhag,Madhya Vidyalay Karma Bhagavan Bayan Bhag,96,96
Madhya Vidyalay Karma Bhagwan Daya Bhag,Madhya Vidyalay Karma Bhagwan Dayan Bhag,99,99
Madhya Vidyalay Karma Bhagwan Pashchim Bhag,Madhya Vidyalay Karma Bhagavan Pashchimi Bhag,95,95
Utkramit Madhya Vidyalay Kuramha Purwi Bhag,Utkramit Madhya Vidyalay Ora Purwi Bhag,95,95
"Utkramit Madhya Vidyalay, Kuramha Pashchimi Bhag",Utkramit Madhya Vidyalay Kuramha Pashchimi Bhag,100,100
Madhya Vidyalay Badava Purwi Bhag,Madhya Vidyalay Badava Purwi Bhag,100,100
Madhya Vidyalay Badwa Paschimi Bhag,Madhya Vidyalay Badava Pashchimi Bhag,94,94
Prathmik Vidyalay Devariya,Prathamik Vidyalay Devariya,98,98
Prathamik Vidyalay Khairi,Prathamik Vidyalay Khairi,100,100
Utkramit Madhya Vidyalay Pirauta,Utkramit Madhya Vidyalay Pirauta,100,100
Samudayik Bhavan Banahi,Samudayik Bhavan Banahi,100,100
Utkramit Madhya Vidyalay Tendua,Utkramit Madhya Vidyalay Tendua,100,100
Utkramit Madhya Vidyalay Haranahi,Utkramit Madhya Vidyalay Haranahi,100,100
Samudayik Bhavan Parasi,Samudayik Bhavan Parasi,100,100
