master_name,duplicate_name,new_booth_num,duplicate_booth_num,name_jw_score,name_lv_score,booth_score,average_score
BHARTHAULI,BHARATHAULI,19.0,22.0,0.9618181818181818,0.9090909090909091,1.0,0.96
CHANDPUR,CHANDAPUR,291.0,290.0,0.9777777777777777,0.8888888888888888,1.0,0.96
POKHRAHAN,POKHRAHA,64.0,65.0,0.9777777777777777,0.8888888888888888,1.0,0.96
BHATKUR,BHATAKUR,319.0,318.0,0.975,0.875,1.0,0.95
NAUGADH,NAUGAD,94.0,93.0,0.9714285714285714,0.8571428571428572,1.0,0.94
DOSMHA,DOSMA,321.0,322.0,0.9666666666666667,0.8333333333333334,1.0,0.93
DUMRI,DUMARI,315.0,316.0,0.9611111111111111,0.8333333333333334,1.0,0.93
PARSA,PARASA,99.0,100.0,0.9144444444444445,0.8333333333333334,1.0,0.92
MANDARAPURA,MADARPURA,75.0,77.0,0.8922558922558923,0.8181818181818181,1.0,0.9
PAWAI,PAVAI,222.0,222.0,0.8933333333333333,0.8,1.0,0.9
POIVWAN,POIVA,113.0,114.0,0.9428571428571428,0.7142857142857143,1.0,0.89
BADWA,BADAVA,40.0,39.0,0.8755555555555556,0.6666666666666667,1.0,0.85
BHARKUR,BHAIROPUR,226.0,224.0,0.888888888888889,0.6666666666666667,1.0,0.85
WAN,AWAN,36.0,34.0,0.8055555555555555,0.75,1.0,0.85
BAGHOIKALA,BAGHOI,72.0,73.0,0.92,0.6,1.0,0.84
KARAHARA,KANABEHARI,121.0,120.0,0.8266666666666667,0.6,1.0,0.81
